rentalZoneID:ID(RENTAL-ZONE-ID)|name|code|type|city|latitude:float|longtitude:float|poiAirport|poiLongDistanceTrains|poiSuburbanTrains|poiUnderground|:LABEL
401719|Olga-Garage|OLG|stationbased|Stuttgart|48,775424024724984||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401720|Brückenstraße|BRUE|stationbased|Stuttgart|48,807883163444500||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401721|Geißstraße|GEI|stationbased|Stuttgart|48,773387698680565||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401722|Nagelstraße|NAG|stationbased|Stuttgart|48,771105571954884||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401723|Parkgarage Landesbibliotek|LDB|stationbased|Stuttgart|48,777317392091960||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401724|Rotebühlhof|ROT|stationbased|Stuttgart|48,774105371624806||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401725|Haus der Geschichte|HDG|stationbased|Stuttgart|48,778488963929070||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401726|Hofdienergarage|HOF|stationbased|Stuttgart|48,779512336210300||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401727|Parkgarage Staatsgalerie|STG|stationbased|Stuttgart|48,780358944486410||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401728|Parkgarage Kunstakademie|OSS|stationbased|Stuttgart|48,801231539534310||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401729|Plieninger Straße |PLI|stationbased|Stuttgart|48,723095016303950||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401730|Parkhaus Züblin|ZUE|stationbased|Stuttgart|48,772781380784710||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401731|Tiefgarge Vaihinger Markt|VAM|stationbased|Stuttgart|48,730582771443416||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401732|Rosensteinstr. (Parkpl.Media Forum)|ROS|stationbased|Stuttgart|48,792291243759840||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401733|Burgstallstraße|BUR|stationbased|Stuttgart|48,755064120665610||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401734|Heilmannstraße (Wohnheim)|HEI|stationbased|Stuttgart|48,787930062892040||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401735|Hohenheimer Straße |HOH|stationbased|Stuttgart|48,703616678614920||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401736|Katzenbachstraße|KAT|stationbased|Stuttgart|48,733125028314966||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401737|Eisenbahnstraße|EIS|stationbased|Stuttgart|48,802609546158620||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401738|Wolframstraße|WOL|stationbased|Stuttgart|48,791752301498214||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401739|Achterstraße 62|ACH62|stationbased|Köln|50,927843819248146||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401740|Bachemer Straße|BAC|stationbased|Köln|50,930697452002870||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401741|Bahnhof West|BFW|stationbased|Köln|50,943097225154055||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401743|Moselstraße (Stellplatz 7)|MOS|stationbased|Stuttgart|48,823391653189330||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401748|Gaußstraße 10|GAU|stationbased|Stuttgart|48,779765082973704||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401756|Mitterwurzerstraße|MIT|stationbased|Stuttgart|48,725696040611940||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401757|Am Botanischen Garten|ABG|stationbased|Köln|50,959737742005636||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401765|HBF - 2 / Parkhaus Rhein-Triadem|HBF - 2|stationbased|Köln|50,944391776363470||Nein|Ja|Nein|Nein|STATION;STATIONBASED;INACTIVE
401767|Bayardsgasse|BAY|stationbased|Köln|50,933807847525840||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401768|Bernkasteler Straße|BKA|stationbased|Köln|50,909094751475730||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401769|Blumenthalstraße|BLU|stationbased|Köln|50,955426108487970||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401770|Parkhaus Brückenstraße|BRS|stationbased|Köln|50,937702310353295||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401771|Brügelmannstraße|BRU|stationbased|Köln|50,943088774962460||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401772|Aral-Parkhaus Cäcilienstraße|ARA|stationbased|Köln|50,935552282659486||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401773|Fritz-Reuter-Straße|FRS|stationbased|Köln|50,913938307927324||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401774|Fritz-Voigt-Straße|FVS|stationbased|Köln|50,953804073828700||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401775|Herbert-Lewin-Straße|HLS|stationbased|Köln|50,933550909690780||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401776|Parkhaus Heumarkt|HEU|stationbased|Köln|50,936455126047070||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401777|Holzmarkt|HOL|stationbased|Köln|50,932320293010760||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401778|Höninger Weg|HOE|stationbased|Köln|50,919011325161050||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401779|Hürth Hahnenstraße|HUE|stationbased|Köln|50,892774480652974||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401780|Jakobstraße|JAK|stationbased|Köln|50,925639234273675||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401781|Parkhaus Kaiser-Wilhelm-Ring|KWR|stationbased|Köln|50,945017068866750||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401782|Parkhaus Lanxess-Arena|LAN|stationbased|Köln|50,939591108787510||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401783|Escher Straße|ESC|stationbased|Köln|50,957223797422910||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401784|Parkhaus Lungengasse|LUN|stationbased|Köln|50,934903198160754||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401785|Maastrichter Straße|MAS|stationbased|Köln|50,938459529140590||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401786|Mevissenstraße|MEV|stationbased|Köln|50,953114691954970||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401787|Bahnhof Mülheim|BFM|stationbased|Köln|50,957318410703590||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401788|Parkhaus Neptunplatz|NEP|stationbased|Köln|50,947518154776220||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401789|Tankstelle Neusser Straße 467|TNE|stationbased|Köln|50,973737654530140||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401790|Riehler Straße (ARAL-Tankstelle)|RIE|stationbased|Köln|50,952222535526780||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401791|DEVK Riehler Straße|DEV|stationbased|Köln|50,958534850008625||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401792|Rosenstraße|ROS|stationbased|Köln|50,926897077764416||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401793|Sechtemer Straße|SEC|stationbased|Köln|50,912815405364600||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401794|Seyengasse|SEY|stationbased|Köln|50,927640947695140||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401795|Theresienstraße|THE|stationbased|Köln|50,927857343986900||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401796|Venloer Straße / Ehrenfeldgürtel|VEN|stationbased|Köln|50,949617780088260||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401797|Vorsterstraße|VOR|stationbased|Köln|50,939257299880740||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401798|Waisenhausgasse|WAG|stationbased|Köln|50,929845437806440||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401799|Parkhaus Wiener Platz|WIE|stationbased|Köln|50,963417181783214||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401800|Wilhelmstraße|WIL|stationbased|Köln|50,963238115702230||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401801|Zülpicher Wall 12|ZUW12|stationbased|Köln|50,928367899998270||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401802|Amsterdamer Straße|AMS|stationbased|Köln|50,965589570012390||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401803|Glasstraße|GLA|stationbased|Köln|50,952046805726596||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401804|Fuchsstraße|FUC|stationbased|Köln|50,945936402571405||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401805|Mauenheimer Straße|MAU|stationbased|Köln|50,966886873165805||Nein|Nein|Nein|Nein|STATION;STATIONBASED;ACTIVE
401806|Nordstraße|NOR|stationbased|Köln|50,968143601046435||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
401807|Plankgasse|PLA|stationbased|Köln|50,947599268823080||Nein|Nein|Nein|Nein|STATION;STATIONBASED;INACTIVE
