vehicleID:ID(VEHICLE-ID)|modelName|modelDetails|vin|registrationPlate|kw:long|fuelType|ownershipType|company|companyGroup|:LABEL
153191|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F863959|F-R 8228|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151346|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW593124|B-R 1262|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151127|Astra|1,7 Diesel 81kW NAVI|W0LPD8EK9D8019907|F-R 7966|81|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
150242|Corsa|1,3 Diesel 70KW NAVI |W0L0SDL68C4201781|F-R 7798|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
153195|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F845762|F-R 8215|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
153199|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F857528|F-R 8224|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
152041|Vivaro|2.0 Diesel 66kW|W0LF7AMA6CV606815|F-R 2023|66|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;OPEL;DIESEL
151151|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW609212|F-R 7780|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150336|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW561479|F-R 7667|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150677|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW581860|F-R 7847|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154731|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKDW593643|F-R 8306|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154795|Fiesta|1,6 Diesel 70kW NAVI|WF0DXXGAKDDG42021|F-R 8347|70|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FORD;DIESEL
151333|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKCW613456|F-R 7785|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150351|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560608|F-R 7658|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150716|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW593553|F-R 7814|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150345|500|ELEKTRO 51kW Automatik|ZFA31200000753799|F-R 7701|51|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;FIAT;STROM
153403|C-Klasse|220 Diesel 125kW NAVI|WDD2042021G152646|F-R 8288|125|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151154|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW610744|F-R 7926|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
153187|C-Klasse|200 Diesel 100kW NAVI|WDD2042011F850242|F-R 8219|100|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
150361|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560594|F-R 7698|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
150739|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW595402|F-R 7821|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154777|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKDW593641|F-R 8311|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154828|C-Klasse|220 Diesel 125kW NAVI|WDD2042021G201902|F-R 7191|125|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;MERCEDES;DIESEL
151335|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKCW589448|B-R 1008|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151357|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW598789|B-R 1341|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154615|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKDW581623|F-R 8142|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151079|DS3|1,6 Diesel 68kW NAVI|VF7SA9HPKCW610746|F-R 7909|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151088|C-Zero|ELEKTRO 35kW Automatik 4-Sitzer |VF71NZKZZCU903435|F-DB 9133|35|Strom|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;STROM
150355|DS3|1,6 Diesel 66kW NAVI|VF7SA9HPKCW560613|F-R 7692|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
154729|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKDW593636|F-R 8304|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
151332|DS3|1,6 Diesel 68kW NAVI |VF7SA9HPKCW613455|F-R 7791|68|Diesel|Langzeitmiete|Flinkster (Endkd.)|DB Fuhrpark|VEHICLE;AUTO;CITROËN;DIESEL
